Retailer,Plan,Type,Period,Rate (c/kWh),Daily Charge (c/day),Feed-in (c/kWh)
GloBird Energy,GloBird  NINETOFIVEBIZ Small Business (Two Rate With CL 7 days) United Energy,OFF_PEAK,Time of Use,28.0,117.0,
GloBird Energy,GloBird  BIZSAVE Small Business (Two Rate With CL 5 days) United Energy,PEAK,Time of Use,34.0,113.0,
GloBird Energy,GloBird  BIZSAVE Small Business (Two Rate With CL 5 days) United Energy,OFF_PEAK,Time of Use,18.7,113.0,
GloBird Energy,GloBird  BIZSAVE Small Business (Two Rate 5 days) United Energy,PEAK,Time of Use,34.0,113.0,
GloBird Energy,GloBird  BIZSAVE Small Business (Two Rate 5 days) United Energy,OFF_PEAK,Time of Use,18.7,113.0,
GloBird Energy,GloBird  BIZSAVE Small Business (Flat Rate Without Controlled Load)-United Energy,Flat Rate,Period,26.2,113.0,
GloBird Energy,GloBird  BIZSAVE Small Business (Flat Rate Without Controlled Load)-United Energy,Flat Rate,Period,27.5,113.0,
GloBird Energy,GloBird  BIZSAVE Small Business (Flat Rate With Controlled Load)-United Energy,Flat Rate,Period,26.2,113.0,
GloBird Energy,GloBird  BIZSAVE Small Business (Flat Rate With Controlled Load)-United Energy,Flat Rate,Period,27.5,113.0,
GloBird Energy,GloBird  STANDING OFFER Residential (Two Rate With CL) United Energy,PEAK,Time of Use,34.8818,105.8909,
GloBird Energy,GloBird  STANDING OFFER Residential (Two Rate With CL) United Energy,OFF_PEAK,Time of Use,20.9,105.8909,
GloBird Energy,GloBird  STANDING OFFER Residential (Two Rate) United Energy,PEAK,Time of Use,34.8818,105.8909,
GloBird Energy,GloBird  STANDING OFFER Residential (Two Rate) United Energy,OFF_PEAK,Time of Use,20.9,105.8909,
GloBird Energy,GloBird  STANDING OFFER Residential (Flat Rate With Controlled Load)-United Energy,Flat Rate,01/07/2025-30/06/2026,26.2182,105.8909,
GloBird Energy,GloBird  STANDING OFFER Residential (Flat Rate Without Controlled Load)-United Energy,Flat Rate,01/07/2025-30/06/2026,26.2182,105.8909,
GloBird Energy,GloBird  STANDING OFFER Small Business (Flat Rate With Controlled Load)-United Energy,Flat Rate,01/07/2025-30/06/2026,25.3545,124.6455,
GloBird Energy,GloBird  STANDING OFFER Small Business (Flat Rate Without Controlled Load)-United Energy,Flat Rate,01/07/2025-30/06/2026,25.3545,124.6455,
GloBird Energy,GloBird STANDING OFFER Small Business (Two Rate With CL 5 days) United Energy,PEAK,Time of Use,31.8273,124.6455,
GloBird Energy,GloBird STANDING OFFER Small Business (Two Rate With CL 5 days) United Energy,OFF_PEAK,Time of Use,18.4273,124.6455,
GloBird Energy,GloBird STANDING OFFER Small Business (Two Rate 5 days) United Energy,PEAK,Time of Use,31.8273,124.6455,
GloBird Energy,GloBird STANDING OFFER Small Business (Two Rate 5 days) United Energy,OFF_PEAK,Time of Use,18.4273,124.6455,
Momentum Energy,Pure Business,Flat Rate,Period,23.3,117.1,1.1
Momentum Energy,Pure Business,Flat Rate,Period,23.3,117.1,1.1
Momentum Energy,Warm Welcome,Flat Rate,Summer Demand Charge,19.2,99.5,1.1
Momentum Energy,Warm Welcome,Flat Rate,Non Summer Demand Charge,19.2,99.5,1.1
Momentum Energy,Warm Welcome,Flat Rate,Period,22.1,99.5,1.1
Momentum Energy,Warm Welcome,Flat Rate,Period,22.1,99.5,1.1
Momentum Energy,Home Run Electricity,Flat Rate,Summer Demand Charge,19.2,99.5,1.1
Momentum Energy,Home Run Electricity,Flat Rate,Non Summer Demand Charge,19.2,99.5,1.1
Momentum Energy,Home Run Electricity,Flat Rate,Period,22.1,99.5,1.1
Momentum Energy,Home Run Electricity,Flat Rate,Period,22.1,99.5,1.1
Momentum Energy,Bill Boss Electricity,Flat Rate,Period,26.2,105.8,1.1
Momentum Energy,Bill Boss Electricity,Flat Rate,Summer Demand Charge,22.9,105.8,1.1
Momentum Energy,Bill Boss Electricity,Flat Rate,Non Summer Demand Charge,22.9,105.8,1.1
Momentum Energy,Bill Boss Electricity,Flat Rate,Period,23.5,117.1,1.1
Momentum Energy,Bill Boss Electricity,Flat Rate,Period,26.2,105.8,1.1
Momentum Energy,Bill Boss Electricity,Flat Rate,Period,23.5,117.1,1.1
Momentum Energy,Strictly Business,Flat Rate,Period,25.4,124.6,1.1
Momentum Energy,Strictly Business,Flat Rate,Period,25.4,124.6,1.1
Momentum Energy,Suit Yourself Electricity,Flat Rate,Period,26.2,105.8,1.1
Momentum Energy,Suit Yourself Electricity,Flat Rate,Summer Demand Charge,22.9,105.8,1.1
Momentum Energy,Suit Yourself Electricity,Flat Rate,Non Summer Demand Charge,22.9,105.8,1.1
Momentum Energy,Suit Yourself Electricity,Flat Rate,Period,26.2,105.8,1.1
Momentum Energy,Warm Welcome,PEAK,Tariff 1,29.8,99.5,1.1
Momentum Energy,Warm Welcome,OFF_PEAK,Tariff 2,14.3,99.5,1.1
Momentum Energy,Warm Welcome,SHOULDER,Tariff 3,19.8,99.5,1.1
Momentum Energy,Home Run Electricity,PEAK,Tariff 1,29.8,99.5,1.1
Momentum Energy,Home Run Electricity,OFF_PEAK,Tariff 2,14.3,99.5,1.1
Momentum Energy,Home Run Electricity,SHOULDER,Tariff 3,19.8,99.5,1.1
Momentum Energy,Bill Boss Electricity,PEAK,Tariff 1,35.5,105.8,1.1
Momentum Energy,Bill Boss Electricity,OFF_PEAK,Tariff 2,17.0,105.8,1.1
Momentum Energy,Bill Boss Electricity,SHOULDER,Tariff 3,23.6,105.8,1.1
Momentum Energy,Pure Business,PEAK,Tariff 1,29.2,117.1,1.1
Momentum Energy,Pure Business,OFF_PEAK,Tariff 2,16.9,117.1,1.1
Momentum Energy,Pure Business,PEAK,Tariff 1,29.2,117.1,1.1
Momentum Energy,Pure Business,OFF_PEAK,Tariff 2,16.9,117.1,1.1
Momentum Energy,Warm Welcome,PEAK,Tariff 1,29.3,99.5,1.1
Momentum Energy,Warm Welcome,OFF_PEAK,Tariff 2,17.6,99.5,1.1
Momentum Energy,Warm Welcome,PEAK,Tariff 1,29.3,99.5,1.1
Momentum Energy,Warm Welcome,OFF_PEAK,Tariff 2,17.6,99.5,1.1
Momentum Energy,Home Run Electricity,PEAK,Tariff 1,29.3,99.5,1.1
Momentum Energy,Home Run Electricity,OFF_PEAK,Tariff 2,17.6,99.5,1.1
Momentum Energy,Bill Boss Electricity,PEAK,Tariff 1,34.9,105.8,1.1
Momentum Energy,Bill Boss Electricity,OFF_PEAK,Tariff 2,20.9,105.8,1.1
Momentum Energy,Bill Boss Electricity,PEAK,Tariff 1,29.5,117.1,1.1
Momentum Energy,Bill Boss Electricity,OFF_PEAK,Tariff 2,17.1,117.1,1.1
Momentum Energy,Home Run Electricity,PEAK,Tariff 1,29.3,99.5,1.1
Momentum Energy,Home Run Electricity,OFF_PEAK,Tariff 2,17.6,99.5,1.1
Momentum Energy,Bill Boss Electricity,PEAK,Tariff 1,34.9,105.8,1.1
Momentum Energy,Bill Boss Electricity,OFF_PEAK,Tariff 2,20.9,105.8,1.1
Momentum Energy,Bill Boss Electricity,PEAK,Tariff 1,29.5,117.1,1.1
Momentum Energy,Bill Boss Electricity,OFF_PEAK,Tariff 2,17.1,117.1,1.1
Momentum Energy,Strictly Business,PEAK,Tariff 1,31.8,124.6,1.1
Momentum Energy,Strictly Business,OFF_PEAK,Tariff 2,18.4,124.6,1.1
Momentum Energy,Suit Yourself Electricity,PEAK,Tariff 1,35.5,105.8,1.1
Momentum Energy,Suit Yourself Electricity,OFF_PEAK,Tariff 2,17.0,105.8,1.1
Momentum Energy,Suit Yourself Electricity,SHOULDER,Tariff 3,23.6,105.8,1.1
Momentum Energy,Strictly Business,PEAK,Tariff 1,31.8,124.6,1.1
Momentum Energy,Strictly Business,OFF_PEAK,Tariff 2,18.4,124.6,1.1
Momentum Energy,Suit Yourself Electricity,PEAK,Tariff 1,34.9,105.8,1.1
Momentum Energy,Suit Yourself Electricity,OFF_PEAK,Tariff 2,20.9,105.8,1.1
Momentum Energy,Suit Yourself Electricity,PEAK,Tariff 1,34.9,105.8,1.1
Momentum Energy,Suit Yourself Electricity,OFF_PEAK,Tariff 2,20.9,105.8,1.1
Momentum Energy,Standing Offer,Flat Rate,Period,26.2181,105.8909,0.0
Momentum Energy,Standing Offer,Flat Rate,Summer Demand Charge,22.8545,105.8909,0.0
Momentum Energy,Standing Offer,Flat Rate,Non Summer Demand Charge,22.8545,105.8909,0.0
Momentum Energy,Standing Offer,Flat Rate,Period,26.2181,105.8909,0.0
Momentum Energy,Standing Offer,Flat Rate,Period,25.3545,124.6454,0.0
Momentum Energy,Standing Offer,Flat Rate,Period,25.3545,124.6454,0.0
Momentum Energy,Standing Offer,PEAK,Tariff 1,31.8272,124.6454,0.0
Momentum Energy,Standing Offer,OFF_PEAK,Tariff 2,18.4272,124.6454,0.0
Momentum Energy,Standing Offer,PEAK,Tariff 1,34.8818,105.8909,0.0
Momentum Energy,Standing Offer,OFF_PEAK,Tariff 2,20.9,105.8909,0.0
Momentum Energy,Standing Offer,PEAK,Tariff 1,31.8272,124.6454,0.0
Momentum Energy,Standing Offer,OFF_PEAK,Tariff 2,18.4272,124.6454,0.0
Momentum Energy,Standing Offer,PEAK,Tariff 1,34.8818,105.8909,0.0
Momentum Energy,Standing Offer,OFF_PEAK,Tariff 2,20.9,105.8909,0.0
Momentum Energy,Standing Offer,PEAK,Tariff 1,35.4727,105.8909,0.0
Momentum Energy,Standing Offer,OFF_PEAK,Tariff 2,16.9727,105.8909,0.0
Momentum Energy,Standing Offer,SHOULDER,Tariff 3,23.5727,105.8909,0.0
